macro_domain,subdomain,micro_domain,audience_hint,problem_hint,format_hint,risk_level,priority,language,country,notes
reise_umzug,reise_umzug_v2_sub_10,Reise Umzug arbeitsbuch für Anfaenger,anfaenger,schnell und effektiv umsetzen,arbeitsbuch,low,70,de,DE,auto v2 #436
garten,garten_v2_sub_1,Garten arbeitsbuch für Familien,familien,schnell und effektiv umsetzen,arbeitsbuch,low,63,de,DE,auto v2 #437
garten,garten_v2_sub_1,Garten ratgeber für Berufstaetige,berufstaetige,keine vorkenntnisse nötig,ratgeber,low,64,de,DE,auto v2 #438
garten,garten_v2_sub_1,Garten checkliste für Studenten,studenten,mit vielen beispielen,checkliste,low,65,de,DE,auto v2 #439
garten,garten_v2_sub_1,Garten planer für Senioren,senioren,schritt für schritt erklärt,planer,low,66,de,DE,auto v2 #440
garten,garten_v2_sub_1,Garten tagebuch für Eltern,eltern,praktisch umsetzen,tagebuch,low,67,de,DE,auto v2 #441
garten,garten_v2_sub_1,Garten workbook für Kleinunternehmer,kleinunternehmer,einfach und verständlich,workbook,low,63,de,DE,auto v2 #442
garten,garten_v2_sub_1,Garten leitfaden für Jugendliche,jugendliche,mit übungen und checklisten,leitfaden,low,64,de,DE,auto v2 #443
garten,garten_v2_sub_1,Garten vorlagenbuch für Anfaenger,anfaenger,für den alltag optimiert,vorlagenbuch,low,65,de,DE,auto v2 #444
garten,garten_v2_sub_1,Garten praxisbuch für Einsteiger,einsteiger,schnell und effektiv umsetzen,praxisbuch,low,66,de,DE,auto v2 #445
garten,garten_v2_sub_1,Garten arbeitsbuch für Erwachsene,erwachsene,keine vorkenntnisse nötig,arbeitsbuch,low,67,de,DE,auto v2 #446
garten,garten_v2_sub_2,Garten ratgeber für Familien,familien,keine vorkenntnisse nötig,ratgeber,low,68,de,DE,auto v2 #447
garten,garten_v2_sub_3,Garten checkliste für Berufstaetige,berufstaetige,keine vorkenntnisse nötig,checkliste,low,69,de,DE,auto v2 #448
garten,garten_v2_sub_4,Garten planer für Studenten,studenten,keine vorkenntnisse nötig,planer,low,70,de,DE,auto v2 #449
garten,garten_v2_sub_5,Garten tagebuch für Senioren,senioren,keine vorkenntnisse nötig,tagebuch,low,71,de,DE,auto v2 #450
garten,garten_v2_sub_6,Garten workbook für Eltern,eltern,keine vorkenntnisse nötig,workbook,low,67,de,DE,auto v2 #451
garten,garten_v2_sub_7,Garten leitfaden für Kleinunternehmer,kleinunternehmer,keine vorkenntnisse nötig,leitfaden,low,68,de,DE,auto v2 #452
garten,garten_v2_sub_8,Garten vorlagenbuch für Jugendliche,jugendliche,keine vorkenntnisse nötig,vorlagenbuch,low,69,de,DE,auto v2 #453
garten,garten_v2_sub_9,Garten praxisbuch für Anfaenger,anfaenger,keine vorkenntnisse nötig,praxisbuch,low,70,de,DE,auto v2 #454
garten,garten_v2_sub_10,Garten arbeitsbuch für Einsteiger,einsteiger,keine vorkenntnisse nötig,arbeitsbuch,low,71,de,DE,auto v2 #455
steuern,steuern_v2_sub_1,Steuern arbeitsbuch für Berufstaetige,berufstaetige,keine vorkenntnisse nötig,arbeitsbuch,low,64,de,DE,auto v2 #456
steuern,steuern_v2_sub_1,Steuern ratgeber für Studenten,studenten,mit vielen beispielen,ratgeber,low,65,de,DE,auto v2 #457
steuern,steuern_v2_sub_1,Steuern checkliste für Senioren,senioren,schritt für schritt erklärt,checkliste,low,66,de,DE,auto v2 #458
steuern,steuern_v2_sub_1,Steuern planer für Eltern,eltern,praktisch umsetzen,planer,low,67,de,DE,auto v2 #459
steuern,steuern_v2_sub_1,Steuern tagebuch für Kleinunternehmer,kleinunternehmer,einfach und verständlich,tagebuch,low,68,de,DE,auto v2 #460
steuern,steuern_v2_sub_1,Steuern workbook für Jugendliche,jugendliche,mit übungen und checklisten,workbook,low,64,de,DE,auto v2 #461
steuern,steuern_v2_sub_1,Steuern leitfaden für Anfaenger,anfaenger,für den alltag optimiert,leitfaden,low,65,de,DE,auto v2 #462
steuern,steuern_v2_sub_1,Steuern vorlagenbuch für Einsteiger,einsteiger,schnell und effektiv umsetzen,vorlagenbuch,low,66,de,DE,auto v2 #463
steuern,steuern_v2_sub_1,Steuern praxisbuch für Erwachsene,erwachsene,keine vorkenntnisse nötig,praxisbuch,low,67,de,DE,auto v2 #464
steuern,steuern_v2_sub_1,Steuern arbeitsbuch für Familien,familien,mit vielen beispielen,arbeitsbuch,low,68,de,DE,auto v2 #465
steuern,steuern_v2_sub_2,Steuern ratgeber für Berufstaetige,berufstaetige,mit vielen beispielen,ratgeber,low,69,de,DE,auto v2 #466
steuern,steuern_v2_sub_3,Steuern checkliste für Studenten,studenten,mit vielen beispielen,checkliste,low,70,de,DE,auto v2 #467
steuern,steuern_v2_sub_4,Steuern planer für Senioren,senioren,mit vielen beispielen,planer,low,71,de,DE,auto v2 #468
steuern,steuern_v2_sub_5,Steuern tagebuch für Eltern,eltern,mit vielen beispielen,tagebuch,low,72,de,DE,auto v2 #469
steuern,steuern_v2_sub_6,Steuern workbook für Kleinunternehmer,kleinunternehmer,mit vielen beispielen,workbook,low,68,de,DE,auto v2 #470
steuern,steuern_v2_sub_7,Steuern leitfaden für Jugendliche,jugendliche,mit vielen beispielen,leitfaden,low,69,de,DE,auto v2 #471
steuern,steuern_v2_sub_8,Steuern vorlagenbuch für Anfaenger,anfaenger,mit vielen beispielen,vorlagenbuch,low,70,de,DE,auto v2 #472
steuern,steuern_v2_sub_9,Steuern praxisbuch für Einsteiger,einsteiger,mit vielen beispielen,praxisbuch,low,71,de,DE,auto v2 #473
steuern,steuern_v2_sub_10,Steuern arbeitsbuch für Erwachsene,erwachsene,mit vielen beispielen,arbeitsbuch,low,72,de,DE,auto v2 #474
ecommerce,ecommerce_v2_sub_1,Ecommerce arbeitsbuch für Studenten,studenten,mit vielen beispielen,arbeitsbuch,low,50,de,DE,auto v2 #475
ecommerce,ecommerce_v2_sub_1,Ecommerce ratgeber für Senioren,senioren,schritt für schritt erklärt,ratgeber,low,51,de,DE,auto v2 #476
ecommerce,ecommerce_v2_sub_1,Ecommerce checkliste für Eltern,eltern,praktisch umsetzen,checkliste,low,52,de,DE,auto v2 #477
ecommerce,ecommerce_v2_sub_1,Ecommerce planer für Kleinunternehmer,kleinunternehmer,einfach und verständlich,planer,low,53,de,DE,auto v2 #478
ecommerce,ecommerce_v2_sub_1,Ecommerce tagebuch für Jugendliche,jugendliche,mit übungen und checklisten,tagebuch,low,54,de,DE,auto v2 #479
ecommerce,ecommerce_v2_sub_1,Ecommerce workbook für Anfaenger,anfaenger,für den alltag optimiert,workbook,low,50,de,DE,auto v2 #480
ecommerce,ecommerce_v2_sub_1,Ecommerce leitfaden für Einsteiger,einsteiger,schnell und effektiv umsetzen,leitfaden,low,51,de,DE,auto v2 #481
ecommerce,ecommerce_v2_sub_1,Ecommerce vorlagenbuch für Erwachsene,erwachsene,keine vorkenntnisse nötig,vorlagenbuch,low,52,de,DE,auto v2 #482
ecommerce,ecommerce_v2_sub_1,Ecommerce praxisbuch für Familien,familien,mit vielen beispielen,praxisbuch,low,53,de,DE,auto v2 #483
ecommerce,ecommerce_v2_sub_1,Ecommerce arbeitsbuch für Berufstaetige,berufstaetige,schritt für schritt erklärt,arbeitsbuch,low,54,de,DE,auto v2 #484
ecommerce,ecommerce_v2_sub_2,Ecommerce ratgeber für Studenten,studenten,schritt für schritt erklärt,ratgeber,low,55,de,DE,auto v2 #485
ecommerce,ecommerce_v2_sub_3,Ecommerce checkliste für Senioren,senioren,schritt für schritt erklärt,checkliste,low,56,de,DE,auto v2 #486
ecommerce,ecommerce_v2_sub_4,Ecommerce planer für Eltern,eltern,schritt für schritt erklärt,planer,low,57,de,DE,auto v2 #487
ecommerce,ecommerce_v2_sub_5,Ecommerce tagebuch für Kleinunternehmer,kleinunternehmer,schritt für schritt erklärt,tagebuch,low,58,de,DE,auto v2 #488
ecommerce,ecommerce_v2_sub_6,Ecommerce workbook für Jugendliche,jugendliche,schritt für schritt erklärt,workbook,low,54,de,DE,auto v2 #489
ecommerce,ecommerce_v2_sub_7,Ecommerce leitfaden für Anfaenger,anfaenger,schritt für schritt erklärt,leitfaden,low,55,de,DE,auto v2 #490
ecommerce,ecommerce_v2_sub_8,Ecommerce vorlagenbuch für Einsteiger,einsteiger,schritt für schritt erklärt,vorlagenbuch,low,56,de,DE,auto v2 #491
ecommerce,ecommerce_v2_sub_9,Ecommerce praxisbuch für Erwachsene,erwachsene,schritt für schritt erklärt,praxisbuch,low,57,de,DE,auto v2 #492
ecommerce,ecommerce_v2_sub_10,Ecommerce arbeitsbuch für Familien,familien,schritt für schritt erklärt,arbeitsbuch,low,58,de,DE,auto v2 #493
smart_home,smart_home_v2_sub_1,Smart Home arbeitsbuch für Senioren,senioren,schritt für schritt erklärt,arbeitsbuch,low,51,de,DE,auto v2 #494
smart_home,smart_home_v2_sub_1,Smart Home ratgeber für Eltern,eltern,praktisch umsetzen,ratgeber,low,52,de,DE,auto v2 #495
smart_home,smart_home_v2_sub_1,Smart Home checkliste für Kleinunternehmer,kleinunternehmer,einfach und verständlich,checkliste,low,53,de,DE,auto v2 #496
smart_home,smart_home_v2_sub_1,Smart Home planer für Jugendliche,jugendliche,mit übungen und checklisten,planer,low,54,de,DE,auto v2 #497
smart_home,smart_home_v2_sub_1,Smart Home tagebuch für Anfaenger,anfaenger,für den alltag optimiert,tagebuch,low,55,de,DE,auto v2 #498
smart_home,smart_home_v2_sub_1,Smart Home workbook für Einsteiger,einsteiger,schnell und effektiv umsetzen,workbook,low,51,de,DE,auto v2 #499
smart_home,smart_home_v2_sub_1,Smart Home leitfaden für Erwachsene,erwachsene,keine vorkenntnisse nötig,leitfaden,low,52,de,DE,auto v2 #500
smart_home,smart_home_v2_sub_1,Smart Home vorlagenbuch für Familien,familien,mit vielen beispielen,vorlagenbuch,low,53,de,DE,auto v2 #501
smart_home,smart_home_v2_sub_1,Smart Home praxisbuch für Berufstaetige,berufstaetige,schritt für schritt erklärt,praxisbuch,low,54,de,DE,auto v2 #502
smart_home,smart_home_v2_sub_1,Smart Home arbeitsbuch für Studenten,studenten,praktisch umsetzen,arbeitsbuch,low,55,de,DE,auto v2 #503
smart_home,smart_home_v2_sub_2,Smart Home ratgeber für Senioren,senioren,praktisch umsetzen,ratgeber,low,56,de,DE,auto v2 #504
smart_home,smart_home_v2_sub_3,Smart Home checkliste für Eltern,eltern,praktisch umsetzen,checkliste,low,57,de,DE,auto v2 #505
smart_home,smart_home_v2_sub_4,Smart Home planer für Kleinunternehmer,kleinunternehmer,praktisch umsetzen,planer,low,58,de,DE,auto v2 #506
smart_home,smart_home_v2_sub_5,Smart Home tagebuch für Jugendliche,jugendliche,praktisch umsetzen,tagebuch,low,59,de,DE,auto v2 #507
smart_home,smart_home_v2_sub_6,Smart Home workbook für Anfaenger,anfaenger,praktisch umsetzen,workbook,low,55,de,DE,auto v2 #508
smart_home,smart_home_v2_sub_7,Smart Home leitfaden für Einsteiger,einsteiger,praktisch umsetzen,leitfaden,low,56,de,DE,auto v2 #509
smart_home,smart_home_v2_sub_8,Smart Home vorlagenbuch für Erwachsene,erwachsene,praktisch umsetzen,vorlagenbuch,low,57,de,DE,auto v2 #510
smart_home,smart_home_v2_sub_9,Smart Home praxisbuch für Familien,familien,praktisch umsetzen,praxisbuch,low,58,de,DE,auto v2 #511
smart_home,smart_home_v2_sub_10,Smart Home arbeitsbuch für Berufstaetige,berufstaetige,praktisch umsetzen,arbeitsbuch,low,59,de,DE,auto v2 #512
demenz,demenz_v2_sub_1,Demenz arbeitsbuch für Eltern,eltern,praktisch umsetzen,arbeitsbuch,low,52,de,DE,auto v2 #513
demenz,demenz_v2_sub_1,Demenz ratgeber für Kleinunternehmer,kleinunternehmer,einfach und verständlich,ratgeber,low,53,de,DE,auto v2 #514
demenz,demenz_v2_sub_1,Demenz checkliste für Jugendliche,jugendliche,mit übungen und checklisten,checkliste,low,54,de,DE,auto v2 #515
demenz,demenz_v2_sub_1,Demenz planer für Anfaenger,anfaenger,für den alltag optimiert,planer,low,55,de,DE,auto v2 #516
demenz,demenz_v2_sub_1,Demenz tagebuch für Einsteiger,einsteiger,schnell und effektiv umsetzen,tagebuch,low,56,de,DE,auto v2 #517
demenz,demenz_v2_sub_1,Demenz workbook für Erwachsene,erwachsene,keine vorkenntnisse nötig,workbook,low,52,de,DE,auto v2 #518
demenz,demenz_v2_sub_1,Demenz leitfaden für Familien,familien,mit vielen beispielen,leitfaden,low,53,de,DE,auto v2 #519
demenz,demenz_v2_sub_1,Demenz vorlagenbuch für Berufstaetige,berufstaetige,schritt für schritt erklärt,vorlagenbuch,low,54,de,DE,auto v2 #520
demenz,demenz_v2_sub_1,Demenz praxisbuch für Studenten,studenten,praktisch umsetzen,praxisbuch,low,55,de,DE,auto v2 #521
demenz,demenz_v2_sub_1,Demenz arbeitsbuch für Senioren,senioren,einfach und verständlich,arbeitsbuch,low,56,de,DE,auto v2 #522
demenz,demenz_v2_sub_2,Demenz ratgeber für Eltern,eltern,einfach und verständlich,ratgeber,low,57,de,DE,auto v2 #523
demenz,demenz_v2_sub_3,Demenz checkliste für Kleinunternehmer,kleinunternehmer,einfach und verständlich,checkliste,low,58,de,DE,auto v2 #524
demenz,demenz_v2_sub_4,Demenz planer für Jugendliche,jugendliche,einfach und verständlich,planer,low,59,de,DE,auto v2 #525
demenz,demenz_v2_sub_5,Demenz tagebuch für Anfaenger,anfaenger,einfach und verständlich,tagebuch,low,60,de,DE,auto v2 #526
demenz,demenz_v2_sub_6,Demenz workbook für Einsteiger,einsteiger,einfach und verständlich,workbook,low,56,de,DE,auto v2 #527
demenz,demenz_v2_sub_7,Demenz leitfaden für Erwachsene,erwachsene,einfach und verständlich,leitfaden,low,57,de,DE,auto v2 #528
demenz,demenz_v2_sub_8,Demenz vorlagenbuch für Familien,familien,einfach und verständlich,vorlagenbuch,low,58,de,DE,auto v2 #529
demenz,demenz_v2_sub_9,Demenz praxisbuch für Berufstaetige,berufstaetige,einfach und verständlich,praxisbuch,low,59,de,DE,auto v2 #530
demenz,demenz_v2_sub_10,Demenz arbeitsbuch für Studenten,studenten,einfach und verständlich,arbeitsbuch,low,60,de,DE,auto v2 #531
lernen,lernen_v2_sub_1,Lernen arbeitsbuch für Kleinunternehmer,kleinunternehmer,einfach und verständlich,arbeitsbuch,low,53,de,DE,auto v2 #532
lernen,lernen_v2_sub_1,Lernen ratgeber für Jugendliche,jugendliche,mit übungen und checklisten,ratgeber,low,54,de,DE,auto v2 #533
lernen,lernen_v2_sub_1,Lernen checkliste für Anfaenger,anfaenger,für den alltag optimiert,checkliste,low,55,de,DE,auto v2 #534
lernen,lernen_v2_sub_1,Lernen planer für Einsteiger,einsteiger,schnell und effektiv umsetzen,planer,low,56,de,DE,auto v2 #535
lernen,lernen_v2_sub_1,Lernen tagebuch für Erwachsene,erwachsene,keine vorkenntnisse nötig,tagebuch,low,57,de,DE,auto v2 #536
lernen,lernen_v2_sub_1,Lernen workbook für Familien,familien,mit vielen beispielen,workbook,low,53,de,DE,auto v2 #537
lernen,lernen_v2_sub_1,Lernen leitfaden für Berufstaetige,berufstaetige,schritt für schritt erklärt,leitfaden,low,54,de,DE,auto v2 #538
lernen,lernen_v2_sub_1,Lernen vorlagenbuch für Studenten,studenten,praktisch umsetzen,vorlagenbuch,low,55,de,DE,auto v2 #539
lernen,lernen_v2_sub_1,Lernen praxisbuch für Senioren,senioren,einfach und verständlich,praxisbuch,low,56,de,DE,auto v2 #540
lernen,lernen_v2_sub_1,Lernen arbeitsbuch für Eltern,eltern,mit übungen und checklisten,arbeitsbuch,low,57,de,DE,auto v2 #541
lernen,lernen_v2_sub_2,Lernen ratgeber für Kleinunternehmer,kleinunternehmer,mit übungen und checklisten,ratgeber,low,58,de,DE,auto v2 #542
lernen,lernen_v2_sub_3,Lernen checkliste für Jugendliche,jugendliche,mit übungen und checklisten,checkliste,low,59,de,DE,auto v2 #543
lernen,lernen_v2_sub_4,Lernen planer für Anfaenger,anfaenger,mit übungen und checklisten,planer,low,60,de,DE,auto v2 #544
lernen,lernen_v2_sub_5,Lernen tagebuch für Einsteiger,einsteiger,mit übungen und checklisten,tagebuch,low,61,de,DE,auto v2 #545
lernen,lernen_v2_sub_6,Lernen workbook für Erwachsene,erwachsene,mit übungen und checklisten,workbook,low,57,de,DE,auto v2 #546
lernen,lernen_v2_sub_7,Lernen leitfaden für Familien,familien,mit übungen und checklisten,leitfaden,low,58,de,DE,auto v2 #547
lernen,lernen_v2_sub_8,Lernen vorlagenbuch für Berufstaetige,berufstaetige,mit übungen und checklisten,vorlagenbuch,low,59,de,DE,auto v2 #548
lernen,lernen_v2_sub_9,Lernen praxisbuch für Studenten,studenten,mit übungen und checklisten,praxisbuch,low,60,de,DE,auto v2 #549
lernen,lernen_v2_sub_10,Lernen arbeitsbuch für Senioren,senioren,mit übungen und checklisten,arbeitsbuch,low,61,de,DE,auto v2 #550
admin_recht,admin_recht_v2_sub_1,Admin Recht arbeitsbuch für Jugendliche,jugendliche,mit übungen und checklisten,arbeitsbuch,low,54,de,DE,auto v2 #551
admin_recht,admin_recht_v2_sub_1,Admin Recht ratgeber für Anfaenger,anfaenger,für den alltag optimiert,ratgeber,low,55,de,DE,auto v2 #552
admin_recht,admin_recht_v2_sub_1,Admin Recht checkliste für Einsteiger,einsteiger,schnell und effektiv umsetzen,checkliste,low,56,de,DE,auto v2 #553
admin_recht,admin_recht_v2_sub_1,Admin Recht planer für Erwachsene,erwachsene,keine vorkenntnisse nötig,planer,low,57,de,DE,auto v2 #554
admin_recht,admin_recht_v2_sub_1,Admin Recht tagebuch für Familien,familien,mit vielen beispielen,tagebuch,low,58,de,DE,auto v2 #555
admin_recht,admin_recht_v2_sub_1,Admin Recht workbook für Berufstaetige,berufstaetige,schritt für schritt erklärt,workbook,low,54,de,DE,auto v2 #556
admin_recht,admin_recht_v2_sub_1,Admin Recht leitfaden für Studenten,studenten,praktisch umsetzen,leitfaden,low,55,de,DE,auto v2 #557
admin_recht,admin_recht_v2_sub_1,Admin Recht vorlagenbuch für Senioren,senioren,einfach und verständlich,vorlagenbuch,low,56,de,DE,auto v2 #558
admin_recht,admin_recht_v2_sub_1,Admin Recht praxisbuch für Eltern,eltern,mit übungen und checklisten,praxisbuch,low,57,de,DE,auto v2 #559
admin_recht,admin_recht_v2_sub_1,Admin Recht arbeitsbuch für Kleinunternehmer,kleinunternehmer,für den alltag optimiert,arbeitsbuch,low,58,de,DE,auto v2 #560
admin_recht,admin_recht_v2_sub_2,Admin Recht ratgeber für Jugendliche,jugendliche,für den alltag optimiert,ratgeber,low,59,de,DE,auto v2 #561
admin_recht,admin_recht_v2_sub_3,Admin Recht checkliste für Anfaenger,anfaenger,für den alltag optimiert,checkliste,low,60,de,DE,auto v2 #562
admin_recht,admin_recht_v2_sub_4,Admin Recht planer für Einsteiger,einsteiger,für den alltag optimiert,planer,low,61,de,DE,auto v2 #563
admin_recht,admin_recht_v2_sub_5,Admin Recht tagebuch für Erwachsene,erwachsene,für den alltag optimiert,tagebuch,low,62,de,DE,auto v2 #564
admin_recht,admin_recht_v2_sub_6,Admin Recht workbook für Familien,familien,für den alltag optimiert,workbook,low,58,de,DE,auto v2 #565
admin_recht,admin_recht_v2_sub_7,Admin Recht leitfaden für Berufstaetige,berufstaetige,für den alltag optimiert,leitfaden,low,59,de,DE,auto v2 #566
admin_recht,admin_recht_v2_sub_8,Admin Recht vorlagenbuch für Studenten,studenten,für den alltag optimiert,vorlagenbuch,low,60,de,DE,auto v2 #567
admin_recht,admin_recht_v2_sub_9,Admin Recht praxisbuch für Senioren,senioren,für den alltag optimiert,praxisbuch,low,61,de,DE,auto v2 #568
admin_recht,admin_recht_v2_sub_10,Admin Recht arbeitsbuch für Eltern,eltern,für den alltag optimiert,arbeitsbuch,low,62,de,DE,auto v2 #569
ausbildung,ausbildung_v2_sub_1,Ausbildung arbeitsbuch für Anfaenger,anfaenger,für den alltag optimiert,arbeitsbuch,low,55,de,DE,auto v2 #570
ausbildung,ausbildung_v2_sub_1,Ausbildung ratgeber für Einsteiger,einsteiger,schnell und effektiv umsetzen,ratgeber,low,56,de,DE,auto v2 #571
ausbildung,ausbildung_v2_sub_1,Ausbildung checkliste für Erwachsene,erwachsene,keine vorkenntnisse nötig,checkliste,low,57,de,DE,auto v2 #572
ausbildung,ausbildung_v2_sub_1,Ausbildung planer für Familien,familien,mit vielen beispielen,planer,low,58,de,DE,auto v2 #573
ausbildung,ausbildung_v2_sub_1,Ausbildung tagebuch für Berufstaetige,berufstaetige,schritt für schritt erklärt,tagebuch,low,59,de,DE,auto v2 #574
ausbildung,ausbildung_v2_sub_1,Ausbildung workbook für Studenten,studenten,praktisch umsetzen,workbook,low,55,de,DE,auto v2 #575
ausbildung,ausbildung_v2_sub_1,Ausbildung leitfaden für Senioren,senioren,einfach und verständlich,leitfaden,low,56,de,DE,auto v2 #576
ausbildung,ausbildung_v2_sub_1,Ausbildung vorlagenbuch für Eltern,eltern,mit übungen und checklisten,vorlagenbuch,low,57,de,DE,auto v2 #577
ausbildung,ausbildung_v2_sub_1,Ausbildung praxisbuch für Kleinunternehmer,kleinunternehmer,für den alltag optimiert,praxisbuch,low,58,de,DE,auto v2 #578
ausbildung,ausbildung_v2_sub_1,Ausbildung arbeitsbuch für Jugendliche,jugendliche,schnell und effektiv umsetzen,arbeitsbuch,low,59,de,DE,auto v2 #579
ausbildung,ausbildung_v2_sub_2,Ausbildung ratgeber für Anfaenger,anfaenger,schnell und effektiv umsetzen,ratgeber,low,60,de,DE,auto v2 #580
ausbildung,ausbildung_v2_sub_3,Ausbildung checkliste für Einsteiger,einsteiger,schnell und effektiv umsetzen,checkliste,low,61,de,DE,auto v2 #581
ausbildung,ausbildung_v2_sub_4,Ausbildung planer für Erwachsene,erwachsene,schnell und effektiv umsetzen,planer,low,62,de,DE,auto v2 #582
ausbildung,ausbildung_v2_sub_5,Ausbildung tagebuch für Familien,familien,schnell und effektiv umsetzen,tagebuch,low,63,de,DE,auto v2 #583
ausbildung,ausbildung_v2_sub_6,Ausbildung workbook für Berufstaetige,berufstaetige,schnell und effektiv umsetzen,workbook,low,59,de,DE,auto v2 #584
ausbildung,ausbildung_v2_sub_7,Ausbildung leitfaden für Studenten,studenten,schnell und effektiv umsetzen,leitfaden,low,60,de,DE,auto v2 #585
ausbildung,ausbildung_v2_sub_8,Ausbildung vorlagenbuch für Senioren,senioren,schnell und effektiv umsetzen,vorlagenbuch,low,61,de,DE,auto v2 #586
ausbildung,ausbildung_v2_sub_9,Ausbildung praxisbuch für Eltern,eltern,schnell und effektiv umsetzen,praxisbuch,low,62,de,DE,auto v2 #587
ausbildung,ausbildung_v2_sub_10,Ausbildung arbeitsbuch für Kleinunternehmer,kleinunternehmer,schnell und effektiv umsetzen,arbeitsbuch,low,63,de,DE,auto v2 #588
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind arbeitsbuch für Einsteiger,einsteiger,schnell und effektiv umsetzen,arbeitsbuch,low,56,de,DE,auto v2 #589
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind ratgeber für Erwachsene,erwachsene,keine vorkenntnisse nötig,ratgeber,low,57,de,DE,auto v2 #590
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind checkliste für Familien,familien,mit vielen beispielen,checkliste,low,58,de,DE,auto v2 #591
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind planer für Berufstaetige,berufstaetige,schritt für schritt erklärt,planer,low,59,de,DE,auto v2 #592
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind tagebuch für Studenten,studenten,praktisch umsetzen,tagebuch,low,60,de,DE,auto v2 #593
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind workbook für Senioren,senioren,einfach und verständlich,workbook,low,56,de,DE,auto v2 #594
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind leitfaden für Eltern,eltern,mit übungen und checklisten,leitfaden,low,57,de,DE,auto v2 #595
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind vorlagenbuch für Kleinunternehmer,kleinunternehmer,für den alltag optimiert,vorlagenbuch,low,58,de,DE,auto v2 #596
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind praxisbuch für Jugendliche,jugendliche,schnell und effektiv umsetzen,praxisbuch,low,59,de,DE,auto v2 #597
baby_kleinkind,baby_kleinkind_v2_sub_1,Baby Kleinkind arbeitsbuch für Anfaenger,anfaenger,keine vorkenntnisse nötig,arbeitsbuch,low,60,de,DE,auto v2 #598
baby_kleinkind,baby_kleinkind_v2_sub_2,Baby Kleinkind ratgeber für Einsteiger,einsteiger,keine vorkenntnisse nötig,ratgeber,low,61,de,DE,auto v2 #599
baby_kleinkind,baby_kleinkind_v2_sub_3,Baby Kleinkind checkliste für Erwachsene,erwachsene,keine vorkenntnisse nötig,checkliste,low,62,de,DE,auto v2 #600
baby_kleinkind,baby_kleinkind_v2_sub_4,Baby Kleinkind planer für Familien,familien,keine vorkenntnisse nötig,planer,low,63,de,DE,auto v2 #601
baby_kleinkind,baby_kleinkind_v2_sub_5,Baby Kleinkind tagebuch für Berufstaetige,berufstaetige,keine vorkenntnisse nötig,tagebuch,low,64,de,DE,auto v2 #602
baby_kleinkind,baby_kleinkind_v2_sub_6,Baby Kleinkind workbook für Studenten,studenten,keine vorkenntnisse nötig,workbook,low,60,de,DE,auto v2 #603
baby_kleinkind,baby_kleinkind_v2_sub_7,Baby Kleinkind leitfaden für Senioren,senioren,keine vorkenntnisse nötig,leitfaden,low,61,de,DE,auto v2 #604
baby_kleinkind,baby_kleinkind_v2_sub_8,Baby Kleinkind vorlagenbuch für Eltern,eltern,keine vorkenntnisse nötig,vorlagenbuch,low,62,de,DE,auto v2 #605
baby_kleinkind,baby_kleinkind_v2_sub_9,Baby Kleinkind praxisbuch für Kleinunternehmer,kleinunternehmer,keine vorkenntnisse nötig,praxisbuch,low,63,de,DE,auto v2 #606
baby_kleinkind,baby_kleinkind_v2_sub_10,Baby Kleinkind arbeitsbuch für Jugendliche,jugendliche,keine vorkenntnisse nötig,arbeitsbuch,low,64,de,DE,auto v2 #607
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung arbeitsbuch für Erwachsene,erwachsene,keine vorkenntnisse nötig,arbeitsbuch,low,57,de,DE,auto v2 #608
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung ratgeber für Familien,familien,mit vielen beispielen,ratgeber,low,58,de,DE,auto v2 #609
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung checkliste für Berufstaetige,berufstaetige,schritt für schritt erklärt,checkliste,low,59,de,DE,auto v2 #610
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung planer für Studenten,studenten,praktisch umsetzen,planer,low,60,de,DE,auto v2 #611
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung tagebuch für Senioren,senioren,einfach und verständlich,tagebuch,low,61,de,DE,auto v2 #612
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung workbook für Eltern,eltern,mit übungen und checklisten,workbook,low,57,de,DE,auto v2 #613
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung leitfaden für Kleinunternehmer,kleinunternehmer,für den alltag optimiert,leitfaden,low,58,de,DE,auto v2 #614
chronische_erkrankung,chronische_erkrankung_v2_sub_1,Chronische Erkrankung vorlagenbuch für Jugendliche,jugendliche,schnell und effektiv umsetzen,vorlagenbuch,low,59,de,DE,auto v2 #615
